x;Dataset_1;Dataset_2;Dataset_3;Dataset_4
1;310,6280712;153,3902539;43,39025387;-568,1909749
2;326,3814305;159,0684135;65,62695604;-529,394556
3;347,9300848;167,3422599;86,58429223;-482,6387552
4;362,2258712;172,4126094;102,3226094;-446,7667193
5;320,3779741;152,5502107;91,83292979;-492,3943152
6;307,682322;145,6643653;93,39395505;-496,3121127
7;229,1479489;109,5368662;65,0069186;-595,725085
8;297,2653828;138,6079479;101,2550329;-483,6982692
9;342,1335024;157,3660011;126,7260011;-405,6401965
10;457,7885093;207,604893;183,2859994;-225,7165977
11;324,0427437;147,0189972;128,6839888;-406,4165592
12;262,3532728;118,4781213;105,8321859;-483,4090059
13;296,7627983;132,6679104;125,4499614;-421,9613914
14;393,7540476;174,6917989;172,6680944;-270,4833535
15;176,5429385;77,09019488;80,04952872;-573,2143667
16;291,135201;126,976756;134,726756;-397,030843
17;347,1805624;150,8624722;163,2266972;-305,7678655
18;483,7896238;210,5742773;227,3899047;-98,48369893
19;274,1195922;116,4042632;137,5202209;-391,7248446
20;358,595226;152,985656;178,2610942;-260,429118
21;382,7519827;162,778659;192,0816868;-216,5966583
22;411,0538358;174,433927;207,6405574;-167,1086371
23;519,2414082;221,6139592;258,6072201;-2,557732561
24;281,6811806;115,1483025;155,8174819;-337,743717
25;410,4763988;171,5272884;215,7672884;-144,0688128
26;243,2634655;96,36709578;144,0778763;-378,2762387
27;492,5330691;206,3302529;257,4163498;-11,20857797
28;387,3859977;158,7948879;213,1649927;-156,3827145
29;293,4344776;116,2553234;173,8219157;-285,687899
30;403,8300757;164,5567003;225,2357233;-120,123224
31;298,7125554;117,0944691;180,8050436;-266,1492755
32;459,0703146;187,6412509;254,3054209;-29,00083445
33;467,2030534;190,5524682;260,094974;-12,01857847
34;331,9743644;129,7674953;202,1155711;-202,3953403
35;286,8109248;109,0315222;184,1147135;-262,955053
36;374,5855554;147,3991357;225,1491357;-131,7661089
37;403,3775863;159,5722606;239,9227618;-86,0430531
38;390,7188994;153,3428442;236,2294043;-100,4578564
39;436,6071578;173,1542923;258,5142123;-30,5652499
40;453,2900968;180,0055986;267,7778114;-3,114304671
41;504,308955;202,1373133;292,2622828;73,68096836
42;461,7132188;182,6825417;275,1021696;15,00736049
43;415,9423804;161,8366135;256,4941545;-48,49610602
44;422,8113716;164,4061652;261,2461484;-36,20366325
45;405,4766641;156,2385174;255,2066747;-59,10731853
46;432,2189201;167,6806311;268,7238305;-18,5752488
47;273,1685945;96,56826422;199,6344482;-246,6370413
48;468,9684147;183,1870732;288,2252024;37,63988797
49;401,6480954;152,8835979;259,8435979;-58,36400668
50;438,2822968;168,8021319;277,6348444;-4,42557135
51;496,7682409;194,4525515;305,1096887;80,86649243
52;347,0620209;127,5931204;240,0272225;-134,7692586
53;380,7075029;142,2433346;256,4077302;-85,76526245
54;493,3939939;192,0428862;307,8916553;77,21168008
55;465,4432749;179,3570111;296,8449505;36,85278593
56;585,7619842;232,5886596;351,6712506;210,4718438
57;385,7302889;143,4623506;264,095728;-78,8222605
58;472,7954121;181,9546276;304,0955518;46,39843969
59;584,9442176;231,6152078;355,2210377;207,6747254
60;471,6438962;181,0961761;306,1248438;43,13007222
61;511,2534606;198,5570936;324,9670807;99,28725427
62;442,2102888;167,7479061;295,4982211;-1,662205052
63;766,9179822;311,9591032;441,0092605;465,9799853
64;494,9026556;190,9800692;321,2900692;71,53352483
65;383,7426651;141,5122956;273,0426055;-90,71753928
66;500,5886154;193,4004957;326,1120319;76,22631109
67;543,1105646;212,2758065;346,1299174;135,6704711
68;518,98531;201,5501378;336,5085878;98,70784771
69;534,9005838;208,6402595;344,665214;119,4471433
70;449,3374725;170,6488767;307,7028873;-6,523650859
71;517,2052894;200,8690175;338,9150084;89,00200685
72;524,2985652;204,0982512;343,0995062;96,62041639
73;594,4526304;235,3745024;375,2946522;195,2090328
74;686,0041792;276,1807463;416,983757;324,5917256
75;530,341599;207,134044;348,7842055;96,77814305
76;607,3866604;241,5329602;383,9948756;204,9928205
77;647,2282908;259,4170181;402,6555936;259,3684089
78;534,5924523;209,5533121;353,5337468;93,40216447
79;660,1589744;265,5773219;410,2650986;271,4135963
80;677,753861;273,6339382;418,9948146;293,3777993
81;525,8679503;206,3857557;352,3857557;70,45240597
82;375,9832256;140,0469892;286,6523947;-149,6621852
83;477,6923256;185,5477002;332,7250434;-6,439074203
84;429,7712481;164,5661103;312,2821659;-79,41984165
85;463,0529164;179,6946295;327,9164078;-35,17495414
86;681,6877733;277,2223437;425,9170835;276,7393169
87;477,0771543;186,6609575;335,7961196;-22,75978819
88;562,1667479;224,8752213;374,4184821;96,14236913
89;395,2480659;151,1058071;301,0250523;-149,0178271
90;644,3376743;262,2489664;412,5122856;206,6766407
91;543,00721;217,6698711;368,2455517;56,16678111
